model_group,model_name,model_size,family,dataset,avg_tokens_saved_with_context,avg_tokens_saved_without_context,avg_percentage_saved_with_context,avg_percentage_saved_without_context,early_stopping_rate_with_context,early_stopping_rate_without_context,accuracy_dropped_with_context,abstention_increased_without_context
RL-Tuned Models,nvidia/AceReason-Nemotron-7B,7B,Nemotron,gsm8k,128.19,1738.21,2.1919316543411607,39.84081214477192,3.0,73.0,3.0,24.0
RL-Tuned Models,nvidia/AceReason-Nemotron-7B,7B,Nemotron,mmlu,43.88059701492537,3931.0746268656717,1.0861533914585488,58.4725405019467,1.4925373134328357,83.5820895522388,1.4925373134328357,62.68656716417911
RL-Tuned Models,nvidia/AceReason-Nemotron-7B,7B,Nemotron,gpqa,431.8,773.35,4.260063141278611,14.241276522353024,5.0,20.0,0.0,15.0
RL-Tuned Models,nvidia/AceReason-Nemotron-7B,7B,Nemotron,icraft,138.56521739130434,104.72463768115942,4.400879123731289,3.25652244192892,10.144927536231885,8.695652173913043,2.898550724637681,8.695652173913043
RL-Tuned Models,nvidia/AceReason-Nemotron-7B,7B,Nemotron,imedqa,77.54,240.72,2.1340237919300695,3.429948540520036,4.0,9.0,1.0,9.0
RL-Tuned Models,nvidia/AceReason-Nemotron-1.1-7B,7B,Nemotron,gsm8k,228.12,2034.6,3.1763433110923525,47.379025077690024,5.0,94.0,3.0,61.0
RL-Tuned Models,nvidia/AceReason-Nemotron-1.1-7B,7B,Nemotron,mmlu,222.50746268656715,3950.492537313433,4.03129686139667,57.26185675425777,8.955223880597014,83.5820895522388,8.955223880597014,61.19402985074627
RL-Tuned Models,nvidia/AceReason-Nemotron-1.1-7B,7B,Nemotron,gpqa,1851.35,3075.8,16.91316820074841,44.25957810125601,20.0,70.0,5.0,55.00000000000001
RL-Tuned Models,nvidia/AceReason-Nemotron-1.1-7B,7B,Nemotron,icraft,140.34782608695653,297.2463768115942,3.2137013112909614,7.774127637402203,5.797101449275362,14.492753623188406,4.3478260869565215,11.594202898550725
RL-Tuned Models,nvidia/AceReason-Nemotron-1.1-7B,7B,Nemotron,imedqa,119.46,273.72,2.46575936775206,6.653119218230433,5.0,16.0,2.0,15.0
RL-Tuned Models,XiaomiMiMo/MiMo-7B-RL-0530,7B,MiMo,gsm8k,196.89,3466.04,3.6574946227631977,62.11733456265234,7.000000000000001,98.0,7.000000000000001,18.0
RL-Tuned Models,XiaomiMiMo/MiMo-7B-RL-0530,7B,MiMo,mmlu,234.88059701492537,7573.835820895522,3.017936366224455,68.15771113118006,4.477611940298507,83.5820895522388,4.477611940298507,35.82089552238806
RL-Tuned Models,XiaomiMiMo/MiMo-7B-RL-0530,7B,MiMo,gpqa,742.25,1591.3,4.541144080758642,16.822616751378515,5.0,25.0,0.0,20.0
RL-Tuned Models,XiaomiMiMo/MiMo-7B-RL-0530,7B,MiMo,icraft,497.5507246376812,1115.7826086956522,9.674672768378246,18.47133352569615,18.84057971014493,27.536231884057973,5.797101449275362,26.08695652173913
RL-Tuned Models,XiaomiMiMo/MiMo-7B-RL-0530,7B,MiMo,imedqa,1332.53,1550.53,16.61891922231968,21.771542410670655,23.0,35.0,11.0,28.000000000000004
RL-Tuned Models,Skywork/Skywork-OR1-7B,7B,Skywork,gsm8k,534.88,4053.98,6.0286099600678025,44.88479877434591,9.0,73.0,7.000000000000001,35.0
RL-Tuned Models,Skywork/Skywork-OR1-7B,7B,Skywork,mmlu,125.01492537313433,6415.611940298508,2.2957487792922793,56.94192635074796,4.477611940298507,74.6268656716418,4.477611940298507,55.223880597014926
RL-Tuned Models,Skywork/Skywork-OR1-7B,7B,Skywork,gpqa,259.4,2277.3,3.8785885167464116,12.942402919337137,5.0,15.0,0.0,15.0
RL-Tuned Models,Skywork/Skywork-OR1-7B,7B,Skywork,icraft,0.0,85.4927536231884,0.0,2.579450293817514,0.0,8.695652173913043,0.0,7.246376811594203
RL-Tuned Models,Skywork/Skywork-OR1-7B,7B,Skywork,imedqa,99.5,58.26,2.8184368935333293,2.2621550363986462,8.0,9.0,4.0,7.000000000000001
RL-Tuned Models,microsoft/Phi-4-reasoning-plus,14B,Phi,gsm8k,0.0,7552.11,0.0,78.37777381846881,0.0,100.0,0.0,28.999999999999996
RL-Tuned Models,microsoft/Phi-4-reasoning-plus,14B,Phi,mmlu,591.2089552238806,10112.34328358209,3.78426685158128,69.86439446784186,4.477611940298507,88.05970149253731,2.9850746268656714,32.83582089552239
RL-Tuned Models,microsoft/Phi-4-reasoning-plus,14B,Phi,gpqa,5616.75,11762.0,32.95680413614406,71.3150067811716,40.0,85.0,10.0,55.00000000000001
RL-Tuned Models,microsoft/Phi-4-reasoning-plus,14B,Phi,icraft,311.2608695652174,588.6376811594203,4.95289441783734,8.882560860309733,7.246376811594203,11.594202898550725,5.797101449275362,10.144927536231885
RL-Tuned Models,microsoft/Phi-4-reasoning-plus,14B,Phi,imedqa,325.54,2234.74,4.843559210246152,28.005993722373265,8.0,41.0,4.0,39.0
RL-Tuned Models,nvidia/AceReason-Nemotron-14B,14B,Nemotron,gsm8k,134.085,2212.515,1.8048040071380427,47.208865603726174,4.5,86.5,3.5000000000000004,32.5
RL-Tuned Models,nvidia/AceReason-Nemotron-14B,14B,Nemotron,mmlu,124.65671641791045,4083.2985074626868,3.1382853193103077,54.769132996993285,5.970149253731343,80.59701492537313,5.970149253731343,53.73134328358209
RL-Tuned Models,nvidia/AceReason-Nemotron-14B,14B,Nemotron,gpqa,954.325,1266.225,11.771137041224558,21.170450663671534,17.5,32.5,10.0,25.0
RL-Tuned Models,nvidia/AceReason-Nemotron-14B,14B,Nemotron,icraft,68.91304347826087,148.3913043478261,2.3788067050857995,4.953151154797078,7.246376811594203,13.043478260869565,5.797101449275362,13.043478260869565
RL-Tuned Models,nvidia/AceReason-Nemotron-14B,14B,Nemotron,imedqa,162.35,220.44,4.242959074495373,6.08247309609656,12.0,14.000000000000002,4.0,12.0
RL-Tuned Models,Qwen/QwQ-32B,32B,Qwen,gsm8k,164.46212121212122,2414.0530303030305,2.4587547521238364,49.74062158421744,6.0606060606060606,89.39393939393939,5.303030303030303,28.78787878787879
RL-Tuned Models,Qwen/QwQ-32B,32B,Qwen,mmlu,98.43283582089552,4389.522388059701,2.253280876781075,53.551739737374085,5.970149253731343,79.1044776119403,5.970149253731343,44.776119402985074
RL-Tuned Models,Qwen/QwQ-32B,32B,Qwen,gpqa,266.95,1143.2,3.903348442754789,24.085116049724466,5.0,45.0,0.0,15.0
RL-Tuned Models,Qwen/QwQ-32B,32B,Qwen,icraft,54.98550724637681,81.76811594202898,1.9019085760204968,3.0903613208721366,5.797101449275362,10.144927536231885,2.898550724637681,10.144927536231885
RL-Tuned Models,Qwen/QwQ-32B,32B,Qwen,imedqa,48.96,297.34,0.9241354729216724,6.627757953843603,3.0,12.0,3.0,10.0
RL-Tuned Models,Qwen/Qwen3-32B,32B,Qwen,gsm8k,49.3,857.97,0.9401559287885151,25.41336195089121,3.0,66.0,2.0,5.0
RL-Tuned Models,Qwen/Qwen3-32B,32B,Qwen,mmlu,67.53731343283582,2551.373134328358,1.388693102386133,40.38128264599979,4.477611940298507,62.68656716417911,4.477611940298507,14.925373134328357
RL-Tuned Models,Qwen/Qwen3-32B,32B,Qwen,gpqa,508.55,2059.35,7.707933390840014,32.81854489362265,10.0,50.0,5.0,25.0
RL-Tuned Models,Qwen/Qwen3-32B,32B,Qwen,icraft,71.1304347826087,101.15942028985508,2.547595394569117,4.261059062096005,7.246376811594203,11.594202898550725,4.3478260869565215,10.144927536231885
RL-Tuned Models,Qwen/Qwen3-32B,32B,Qwen,imedqa,0.0,30.89,0.0,1.175243102136718,0.0,4.0,0.0,2.0
RL-Tuned Models,Skywork/Skywork-OR1-32B,32B,Skywork,gsm8k,66.83,2720.33,1.348510514891757,52.225324846754276,3.0,86.0,3.0,28.999999999999996
RL-Tuned Models,Skywork/Skywork-OR1-32B,32B,Skywork,mmlu,723.7611940298508,3913.6119402985073,9.830665002730132,46.003711913384414,16.417910447761194,59.70149253731343,16.417910447761194,40.298507462686565
RL-Tuned Models,Skywork/Skywork-OR1-32B,32B,Skywork,gpqa,0.0,302.95,0.0,6.308863236891859,0.0,10.0,0.0,10.0
RL-Tuned Models,Skywork/Skywork-OR1-32B,32B,Skywork,icraft,58.130434782608695,177.66666666666666,2.2559636354028756,5.391258156746899,5.797101449275362,21.73913043478261,2.898550724637681,21.73913043478261
RL-Tuned Models,Skywork/Skywork-OR1-32B,32B,Skywork,imedqa,44.01,421.67,1.417038882639949,4.369789345476215,3.0,10.0,2.0,9.0
RL-Tuned Models,**Average**,,,gsm8k,166.97301346801345,3005.5342255892256,2.4007338612451847,49.687546484835345,4.506734006734007,85.0993265993266,3.755892255892256,29.14309764309764
RL-Tuned Models,**Average**,,,mmlu,247.98673300165834,5213.4626865671635,3.425147394573431,56.15603294441399,6.301824212271973,77.28026533996683,6.135986733001658,44.61028192371476
RL-Tuned Models,**Average**,,,gpqa,1181.263888888889,2694.608333333333,9.548020772277276,27.10709510215631,11.944444444444445,39.166666666666664,3.3333333333333335,26.11111111111111
RL-Tuned Models,**Average**,,,icraft,148.98711755233495,300.0966183574879,3.480713548035125,6.517758272629627,7.568438003220613,14.170692431561996,3.864734299516909,13.204508856682772
RL-Tuned Models,**Average**,,,imedqa,245.54333333333338,592.0344444444445,3.9405368795375875,8.930891380638462,7.333333333333333,16.666666666666668,3.4444444444444446,14.555555555555555
Distilled Models,Qwen/Qwen3-0.6B,0.6B,Qwen,gsm8k,364.14,409.19,7.951199523549827,14.561070558069877,15.0,43.0,5.0,0.0
Distilled Models,Qwen/Qwen3-0.6B,0.6B,Qwen,mmlu,1108.7014925373135,2149.179104477612,10.989172912991124,38.9531260613475,16.417910447761194,74.6268656716418,8.955223880597014,17.91044776119403
Distilled Models,Qwen/Qwen3-0.6B,0.6B,Qwen,gpqa,89.9,372.15,3.4763455207321146,8.472826611937055,10.0,15.0,5.0,5.0
Distilled Models,Qwen/Qwen3-0.6B,0.6B,Qwen,icraft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,Qwen/Qwen3-0.6B,0.6B,Qwen,imedqa,15.73,0.0,0.6895862785406792,0.0,2.0,0.0,0.0,0.0
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,1.5B,DeepSeek,gsm8k,165.96,898.76,3.3740462348054168,22.114703789700165,8.0,42.0,4.0,17.0
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,1.5B,DeepSeek,mmlu,246.7910447761194,2708.8507462686566,4.8405364644085545,44.3060039185276,8.955223880597014,68.65671641791045,5.970149253731343,50.74626865671642
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,1.5B,DeepSeek,gpqa,96.3,440.4,2.810858143607706,11.308924792972922,5.0,25.0,0.0,20.0
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,1.5B,DeepSeek,icraft,9.391304347826088,9.043478260869565,0.5106186108769618,0.6005563640400579,2.898550724637681,2.898550724637681,0.0,2.898550724637681
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,1.5B,DeepSeek,imedqa,6.84,0.66,0.29947460595446584,0.045020463847203276,1.0,1.0,0.0,1.0
Distilled Models,Qwen/Qwen3-1.7B,1.7B,Qwen,gsm8k,75.86,638.17,2.4228324042637825,23.22263019857751,6.0,68.0,5.0,1.0
Distilled Models,Qwen/Qwen3-1.7B,1.7B,Qwen,mmlu,90.02985074626865,2413.3432835820895,2.1698296033590116,44.031553348796194,4.477611940298507,74.6268656716418,2.9850746268656714,11.940298507462686
Distilled Models,Qwen/Qwen3-1.7B,1.7B,Qwen,gpqa,459.4,460.8,7.537317878110409,11.270596799653536,10.0,20.0,5.0,0.0
Distilled Models,Qwen/Qwen3-1.7B,1.7B,Qwen,icraft,29.420289855072465,66.6086956521739,1.265071901357612,3.0190170057349888,4.3478260869565215,10.144927536231885,0.0,10.144927536231885
Distilled Models,Qwen/Qwen3-1.7B,1.7B,Qwen,imedqa,101.19,86.58,3.2403087634666137,3.9988793246187067,8.0,14.000000000000002,3.0,10.0
Distilled Models,microsoft/Phi-4-mini-reasoning,4B,Phi,gsm8k,10.47,997.91,0.42787086228034327,32.19217590763384,1.0,76.0,1.0,13.0
Distilled Models,microsoft/Phi-4-mini-reasoning,4B,Phi,mmlu,105.40298507462687,2348.268656716418,2.0452254404535166,40.548012300653674,4.477611940298507,74.6268656716418,4.477611940298507,29.850746268656714
Distilled Models,microsoft/Phi-4-mini-reasoning,4B,Phi,gpqa,1061.05,3075.0,13.602723482588766,52.11608394534087,20.0,80.0,0.0,40.0
Distilled Models,microsoft/Phi-4-mini-reasoning,4B,Phi,icraft,78.52173913043478,130.2173913043478,2.274096024187319,4.322295663680581,5.797101449275362,13.043478260869565,1.4492753623188406,13.043478260869565
Distilled Models,microsoft/Phi-4-mini-reasoning,4B,Phi,imedqa,234.83,106.0,5.3422691481363564,3.8622365539079886,11.0,11.0,9.0,6.0
Distilled Models,microsoft/Phi-4-mini-flash-reasoning,4B,Phi,gsm8k,39.4,1191.46,1.48069701820133,33.89882048413023,3.0,74.0,2.0,11.0
Distilled Models,microsoft/Phi-4-mini-flash-reasoning,4B,Phi,mmlu,87.11940298507463,3895.089552238806,1.7138879789623493,49.278252817870985,2.9850746268656714,73.13432835820896,2.9850746268656714,26.865671641791046
Distilled Models,microsoft/Phi-4-mini-flash-reasoning,4B,Phi,gpqa,1106.15,1833.1,16.408247618628575,32.4237757898038,25.0,55.00000000000001,5.0,30.0
Distilled Models,microsoft/Phi-4-mini-flash-reasoning,4B,Phi,icraft,73.7536231884058,318.39130434782606,1.9723366798829074,8.857214117546977,4.3478260869565215,23.18840579710145,2.898550724637681,21.73913043478261
Distilled Models,microsoft/Phi-4-mini-flash-reasoning,4B,Phi,imedqa,104.68,484.97,2.196359302269768,9.583003420501006,5.0,20.0,1.0,17.0
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,7B,DeepSeek,gsm8k,112.03,345.77,1.5779761875755713,8.533982745351546,3.0,16.0,2.0,4.0
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,7B,DeepSeek,mmlu,18.059701492537314,2491.731343283582,0.6664096491711186,46.517762271222644,1.4925373134328357,77.61194029850746,1.4925373134328357,49.25373134328358
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,7B,DeepSeek,gpqa,0.0,104.25,0.0,2.907949790794979,0.0,5.0,0.0,5.0
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,7B,DeepSeek,icraft,38.26086956521739,4.202898550724638,1.6562655954949261,0.18353268780456933,8.695652173913043,1.4492753623188406,2.898550724637681,1.4492753623188406
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,7B,DeepSeek,imedqa,68.8,13.9,2.2309063472304613,0.623589951186826,7.000000000000001,3.0,2.0,2.0
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,8B,DeepSeek,gsm8k,174.87,566.55,2.735549683017398,13.310321574032203,5.0,27.0,4.0,7.000000000000001
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,8B,DeepSeek,mmlu,307.55223880597015,2425.492537313433,5.59575777873051,40.50955572250112,11.940298507462686,65.67164179104478,10.44776119402985,49.25373134328358
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,8B,DeepSeek,gpqa,29.15,269.85,0.4002471508993547,7.4445672830407945,5.0,15.0,0.0,15.0
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,8B,DeepSeek,icraft,15.927536231884059,1.289855072463768,0.5901273150012619,0.09286213624649158,1.4492753623188406,1.4492753623188406,0.0,1.4492753623188406
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,8B,DeepSeek,imedqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,Qwen/Qwen3-8B,8B,Qwen,gsm8k,249.08,1017.77,4.986300238493179,29.980821911599087,10.0,71.0,10.0,1.0
Distilled Models,Qwen/Qwen3-8B,8B,Qwen,mmlu,113.50746268656717,2597.10447761194,3.1413182207637034,41.3194635502678,7.462686567164178,64.17910447761194,7.462686567164178,13.432835820895523
Distilled Models,Qwen/Qwen3-8B,8B,Qwen,gpqa,653.1,429.25,8.1248537043656,13.142379524452224,10.0,25.0,0.0,10.0
Distilled Models,Qwen/Qwen3-8B,8B,Qwen,icraft,0.0,12.55072463768116,0.0,0.7447395347308293,0.0,4.3478260869565215,0.0,4.3478260869565215
Distilled Models,Qwen/Qwen3-8B,8B,Qwen,imedqa,27.63,82.02,1.1925780550029474,2.599820384789245,4.0,9.0,2.0,5.0
Distilled Models,microsoft/Phi-4-reasoning,14B,Phi,gsm8k,24.26,1870.31,0.8266109238180629,41.03786875233777,2.0,83.0,1.0,34.0
Distilled Models,microsoft/Phi-4-reasoning,14B,Phi,mmlu,147.34328358208955,3640.6417910447763,2.4207691294970215,40.07749395786348,4.477611940298507,71.64179104477611,1.4925373134328357,29.850746268656714
Distilled Models,microsoft/Phi-4-reasoning,14B,Phi,gpqa,1286.25,3131.9,10.14762188659319,45.94606836922575,20.0,75.0,0.0,45.0
Distilled Models,microsoft/Phi-4-reasoning,14B,Phi,icraft,205.52173913043478,213.7391304347826,5.50886268175157,7.185015841723341,13.043478260869565,15.942028985507244,10.144927536231885,14.492753623188406
Distilled Models,microsoft/Phi-4-reasoning,14B,Phi,imedqa,326.12,544.61,7.524147293249866,13.955385310090657,15.0,31.0,11.0,27.0
Distilled Models,**Average**,,,gsm8k,135.1188888888889,881.7655555555556,2.8647870084449902,24.316932880159136,5.888888888888889,55.55555555555556,3.7777777777777777,9.777777777777779
Distilled Models,**Average**,,,mmlu,247.16749585406296,2741.077943615257,3.7314341309263233,42.83791377211678,6.965174129353234,71.6417910447761,5.140961857379768,31.011608623548923
Distilled Models,**Average**,,,gpqa,531.2555555555555,1124.0777777777778,6.945357265058413,20.559241434135767,11.666666666666666,35.0,1.6666666666666667,18.88888888888889
Distilled Models,**Average**,,,icraft,50.08856682769726,84.00483091787439,1.5308198676169509,2.7783592612786485,4.508856682769726,8.051529790660224,1.932367149758454,7.729468599033816
Distilled Models,**Average**,,,imedqa,98.42444444444443,146.52666666666667,2.5239588659834618,3.8519928232157365,5.888888888888889,9.88888888888889,3.111111111111111,7.555555555555555
